title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,"Simon Asplen-Taylor 
(Author)",£25.62,RRP: £29.99,Paperback – 3 Jun. 2022,Print length      328 pages,Publication date      3 Jun. 2022,4.7 out of 5 stars,41 ratings,In stock
The little book of data: First steps to your data transformation,"Lisa Allen 
(Author),",£7.99,,Paperback – 29 Mar. 2021,Print length      45 pages,Publication date      29 Mar. 2021,4.4 out of 5 stars,23 ratings,In stock
R for Data Analysis in easy steps,"Mike McGrath 
(Author)",£11.45,RRP: £12.99,Paperback – 31 May 2023,Print length      192 pages,Publication date      31 May 2023,4.5 out of 5 stars,12 ratings,In stock
"Fundamentals of Data Analytics: Learn Essential Skills, Embrace the Future, and Catapult Your Career in the Data-Driven World—A Comprehensive Guide to Data Literacy for Beginners","Russell Dawson 
(Author)",£11.53,,Paperback – 25 Nov. 2023,Print length      166 pages,Publication date      25 Nov. 2023,4.6 out of 5 stars,43 ratings,In stock
"Data Analysis in Microsoft Excel: Deliver Awesome Analytics in 3 Easy Steps Using VLOOKUPS, Pivot Tables, Charts And More","Alex Holloway 
(Author)",£14.49,,Paperback – 21 July 2023,Print length      224 pages,Publication date      21 July 2023,4.2 out of 5 stars,59 ratings,In stock
Data Management at Scale: Modern Data Architecture with Data Mesh and Data Fabric,"Piethein Strengholt 
(Author)",£42.54,RRP: £59.99,Paperback – 30 April 2023,Print length      300 pages,Publication date      30 April 2023,4.4 out of 5 stars,29 ratings,In stock
"Visualize This: The FlowingData Guide to Design, Visualization, and Statistics","Nathan Yau 
(Author)",£26.50,RRP: £34.99,Paperback – 23 May 2024,Print length      384 pages,Publication date      23 May 2024,4.6 out of 5 stars,3 ratings,Only 3 left in stock.
Data Analytics & Visualization All-in-One For Dummies,"Jack A. Hyman 
(Author),",£26.05,RRP: £37.99,Paperback – 1 April 2024,Print length      832 pages,Publication date      1 April 2024,4.0 out of 5 stars,1 rating,In stock
Metalworker's Data Book: No. 42 (Workshop Practice),"Harold Hall 
(Author)",,,Paperback – 19 Mar. 2009,Print length      128 pages,Publication date      19 Mar. 2009,4.6 out of 5 stars,289 ratings,Out of stock
"Fish Mouth Sewing Machine Needle Threader, 2024 Upgraded Automatic Needle Threader for Sewing Machine, Quick Sewing Machine Loop Sewing Machine Needle Threader Tool (10PCS)",,£8.99,,,,,Previous page of related Sponsored Products,,Usually dispatched within 2 to 3 days
