title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
Is it pronounced data or data?: 11 ways to improve data strategy in your organisation.,"Mr Daniele Forni 
(Author)",£8.99,,Paperback – 29 May 2023,Print length      103 pages,Publication date      29 May 2023,5.0 out of 5 stars,4 ratings,In stock
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),"Paul McFedries 
(Author)",£23.35,RRP: £32.99,Paperback – 3 Feb. 2022,Print length      368 pages,Publication date      3 Feb. 2022,4.1 out of 5 stars,38 ratings,Only 14 left in stock (more on the way).
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL","Roberto Zagni 
(Author)",£37.99,,Paperback – 30 Jun. 2023,Print length      578 pages,Publication date      30 Jun. 2023,4.6 out of 5 stars,7 ratings,In stock
Fundamentals of Data Observability: Implement Trustworthy End-To-End Data Solutions,"Andy Petrella 
(Author)",£38.06,RRP: £52.99,Paperback – 19 Sept. 2023,Print length      264 pages,Publication date      19 Sept. 2023,4.0 out of 5 stars,3 ratings,Only 3 left in stock.
"How to Use Customer Data: Navigating GDPR, DPDI and a Future with Marketing AI","Sachiko Scheuing 
(Author)",£34.97,,Paperback – 3 Jun. 2024,Print length      296 pages,Publication date      3 Jun. 2024,5.0 out of 5 stars,1 rating,In stock
King Charles III England Coast Path Planner and Data Book: The South West Coast (Includes the entire South West Coast Path),"Christine Saul 
(Author)",,,[Print Replica] Kindle Edition,,Publication date      6 Jun. 2024,Previous slide of product details,,Out of stock
Drawing Data with Kids: Cultivating Data-Literacy: A Screen-Free Journey through the Art of Visualization for Kids,"Gulrez Khan 
(Author)",£13.99,RRP: £15.67,Paperback – 7 July 2023,Print length      126 pages,Publication date      7 July 2023,4.5 out of 5 stars,30 ratings,Only 4 left in stock (more on the way).
"SQL Made Easy: The Ultimate Guide For Beginners on Data Querying, Manipulation and Analysis using Real-World Context to Advance Your Career in Data Analytics","Alex Wade 
(Author)",£14.99,,Paperback – 13 Mar. 2024,Print length      180 pages,Publication date      13 Mar. 2024,4.9 out of 5 stars,18 ratings,In stock
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,"James Densmore 
(Author)",£12.76,RRP: £23.99,Paperback – 31 Mar. 2021,Print length      200 pages,Publication date      31 Mar. 2021,4.5 out of 5 stars,346 ratings,In stock
People and Data: Uniting to Transform Your Business,"Thomas C. Redman 
(Author)",£24.99,RRP: £29.99,Paperback – 3 July 2023,Print length      264 pages,Publication date      3 July 2023,4.7 out of 5 stars,15 ratings,In stock
Data Cartels: The Companies That Control and Monopolize Our Information,"Sarah Lamdan 
(Author)",£18.85,RRP: £21.99,Paperback – 8 Nov. 2022,Print length      224 pages,Publication date      8 Nov. 2022,4.0 out of 5 stars,16 ratings,Only 1 left in stock (more on the way).
Analysing data,"Helen Kara 
(Author)",,,Kindle Edition,,Publication date      20 Nov. 2013,4.8 out of 5 stars,5 ratings,Out of stock
Data Literacy for Kids,"Kathleen Yu 
(Author, Illustrator)",£12.46,,"Paperback – Large Print, 22 July 2023",Print length      71 pages,Publication date      22 July 2023,5.0 out of 5 stars,4 ratings,In stock
"SQL Made Easy: The Ultimate Guide For Beginners on Data Querying, Manipulation and Analysis using Real-World Context to Advance Your Career in Data Analytics","Alex Wade 
(Author)",£14.99,,Paperback – 13 Mar. 2024,Print length      180 pages,Publication date      13 Mar. 2024,4.9 out of 5 stars,18 ratings,In stock
Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service,"Dmitry Anoshin 
(Author),",£37.99,,Paperback – 11 Jan. 2021,Print length      382 pages,Publication date      11 Jan. 2021,4.0 out of 5 stars,41 ratings,In stock
General Data Protection Regulation (GDPR) (Laws & Treaties Book 2),"European  Commission 
(Author)",,,Kindle Edition,,Publication date      29 July 2023,Previous slide of product details,,Out of stock
The Afterlife of Data: What Happens to Your Information When You Die and Why You Should Care,"Carl Öhman 
(Author)",,,Kindle Edition,,Publication date      22 May 2024,4.0 out of 5 stars,1 rating,Out of stock
Data Center Design from Beginner to Professional,"B.A. Ayomaya 
(Author)",£24.69,,Paperback – 14 April 2021,Print length      383 pages,Publication date      14 April 2021,3.9 out of 5 stars,14 ratings,In stock
"A Common–Sense Guide to Data Structures and Algorithms, 2e: Level Up Your Core Programming Skills","Jan Wengrow 
(Author)",£23.44,RRP: £36.99,Paperback – 30 Jun. 2020,Print length      250 pages,Publication date      30 Jun. 2020,4.8 out of 5 stars,733 ratings,In stock
Functional Aesthetics for Data Visualization,"Vidya Setlur 
(Author),",£22.29,RRP: £30.99,Paperback – 8 Aug. 2022,Print length      336 pages,Publication date      8 Aug. 2022,4.4 out of 5 stars,12 ratings,Only 7 left in stock (more on the way).
Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),"Murtaza Haider 
(Author)",,,"1st Edition, Kindle Edition",,Publication date      14 Dec. 2015,4.5 out of 5 stars,114 ratings,Out of stock
Mastering the Data Paradox: Key to Winning in the AI Age,"Nitin Seth 
(Author)",£18.12,RRP: £27.99,Hardcover – 1 April 2024,Print length      400 pages,Publication date      1 April 2024,4.8 out of 5 stars,324 ratings,Only 8 left in stock.
"SQL Made Easy: The Ultimate Guide For Beginners on Data Querying, Manipulation and Analysis using Real-World Context to Advance Your Career in Data Analytics","Alex Wade 
(Author)",£14.99,,Paperback – 13 Mar. 2024,Print length      180 pages,Publication date      13 Mar. 2024,4.9 out of 5 stars,18 ratings,In stock
Data Literacy for Kids,"Kathleen Yu 
(Author, Illustrator)",£12.46,,"Paperback – Large Print, 22 July 2023",Print length      71 pages,Publication date      22 July 2023,5.0 out of 5 stars,4 ratings,In stock
Resiliência Cibernética: Domine Estratégias de Segurança e Inteligências Artificiais Generativas (Portuguese Edition),"Alessandro Carvalho Coutinho 
(Author),",,,Kindle Edition,,Publication date      9 July 2024,5.0 out of 5 stars,6 ratings,Out of stock
Data Is Everybody's Business: The Fundamentals of Data Monetization (Management on the Cutting Edge),"Barbara H. Wixom 
(Author),",,,Kindle Edition,,Publication date      26 Sept. 2023,4.3 out of 5 stars,31 ratings,Out of stock
Data Discovery: How data is used and analyzed in business (D.A.T.A. Series Book 1),"Todd Kelsey 
(Author)",,,Kindle Edition,,Publication date      8 April 2023,5.0 out of 5 stars,1 rating,Out of stock
"SSIS Data Warehouse Development - 101 Interview Questions: Earn over £50,000 per annum using SSIS and SQL Server (The Data Engineering Series)","Jack Reynolds 
(Author)",,,Kindle Edition,,Publication date      27 Mar. 2019,4.0 out of 5 stars,6 ratings,Out of stock
"AI IN BUSINESS: Leveraging Generative Artificial Intelligence to Drive Innovation, Improve Customer Experience & Gain a Competitive Advantage for Industry Leaders","James Robert 
(Author)",,,Kindle Edition,,Publication date      2 July 2024,4.7 out of 5 stars,34 ratings,Out of stock
The Data Mindset Playbook: A book about data for people who don't want to read about data,"Gam Dias 
(Author),",£16.99,,Paperback – 22 Oct. 2022,Print length      221 pages,Publication date      22 Oct. 2022,5.0 out of 5 stars,15 ratings,In stock
Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service,"Dmitry Anoshin 
(Author),",£37.99,,Paperback – 11 Jan. 2021,Print length      382 pages,Publication date      11 Jan. 2021,4.0 out of 5 stars,41 ratings,In stock
All Data Are Local: Thinking Critically in a Data-Driven Society,"Yanni Alexander Loukissas 
(Author)",,,Kindle Edition,,Publication date      30 April 2019,4.8 out of 5 stars,21 ratings,Out of stock
Data Strategy: From definition to execution,"Ian Wallis 
(Author)",£26.27,RRP: £29.99,Paperback – 23 Aug. 2021,Print length      316 pages,Publication date      23 Aug. 2021,4.0 out of 5 stars,16 ratings,In stock
"A Common–Sense Guide to Data Structures and Algorithms, 2e: Level Up Your Core Programming Skills","Jan Wengrow 
(Author)",£23.44,RRP: £36.99,Paperback – 30 Jun. 2020,Print length      250 pages,Publication date      30 Jun. 2020,4.8 out of 5 stars,733 ratings,In stock
Data Points: Visualization That Means Something,"Nathan Yau 
(Author)",,,"1st Edition, Kindle Edition",,Publication date      25 Mar. 2013,4.4 out of 5 stars,150 ratings,Out of stock
Data Center Design from Beginner to Professional,"B.A. Ayomaya 
(Author)",£24.69,,Paperback – 14 April 2021,Print length      383 pages,Publication date      14 April 2021,3.9 out of 5 stars,14 ratings,In stock
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python, 2nd Edition","François Voron 
(Author)",,,Kindle Edition,,Publication date      31 July 2023,5.0 out of 5 stars,4 ratings,Out of stock
"Desvendando o Big Data: Tecnologias, Ferramentas e Aplicações Práticas (Portuguese Edition)","Wagner Souza 
(Author)",,,Kindle Edition,,Publication date      7 July 2024,Previous slide of product details,,Out of stock
The Data Mindset Playbook: A book about data for people who don't want to read about data,"Gam Dias 
(Author),",£16.99,,Paperback – 22 Oct. 2022,Print length      221 pages,Publication date      22 Oct. 2022,5.0 out of 5 stars,15 ratings,In stock
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python, 2nd Edition","François Voron 
(Author)",,,Kindle Edition,,Publication date      31 July 2023,5.0 out of 5 stars,4 ratings,Out of stock
Dark Data: Why What You Don’t Know Matters,"David J. Hand 
(Author)",,,"Illustrated Edition, Kindle Edition",,Publication date      18 Feb. 2020,4.2 out of 5 stars,50 ratings,Out of stock
"A Common–Sense Guide to Data Structures and Algorithms, 2e: Level Up Your Core Programming Skills","Jan Wengrow 
(Author)",£23.44,RRP: £36.99,Paperback – 30 Jun. 2020,Print length      250 pages,Publication date      30 Jun. 2020,4.8 out of 5 stars,733 ratings,In stock
Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service,"Dmitry Anoshin 
(Author),",£37.99,,Paperback – 11 Jan. 2021,Print length      382 pages,Publication date      11 Jan. 2021,4.0 out of 5 stars,41 ratings,In stock
Data Center Design from Beginner to Professional,"B.A. Ayomaya 
(Author)",£24.69,,Paperback – 14 April 2021,Print length      383 pages,Publication date      14 April 2021,3.9 out of 5 stars,14 ratings,In stock
Dive Into Data Science: Use Python To Tackle Your Toughest Business Challenges,"Bradford Tuckfield 
(Author)",,,Kindle Edition,,Publication date      4 July 2023,4.4 out of 5 stars,10 ratings,Out of stock
R Programming: 3 books in 1 : R Basics for Beginners + R Data Analysis and Statistics + R Data Visualization,"Andy Vickler 
(Author)",,,Kindle Edition,,Publication date      27 April 2022,3.8 out of 5 stars,5 ratings,Out of stock
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data","Anthony DeBarros 
(Author)",,,Kindle Edition,,Publication date      25 Jan. 2022,4.7 out of 5 stars,177 ratings,Out of stock
MCRP 3-31B Amphibious Ships and Landing Craft Data Book,"Luc Boudreaux 
(Author),",,,Kindle Edition,,Publication date      3 May 2023,Previous slide of product details,,Out of stock
Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,"Michael Walker 
(Author)",,,Kindle Edition,,Publication date      11 Dec. 2020,4.6 out of 5 stars,50 ratings,Out of stock
Functional Aesthetics for Data Visualization,"Vidya Setlur 
(Author),",£22.29,RRP: £30.99,Paperback – 8 Aug. 2022,Print length      336 pages,Publication date      8 Aug. 2022,4.4 out of 5 stars,12 ratings,Only 7 left in stock (more on the way).
Metric Handbook: Planning and Design Data,"Pamela Buxton 
(Editor)",,,[Print Replica] Kindle Edition,,Publication date      25 Nov. 2021,4.5 out of 5 stars,39 ratings,Out of stock
Data Strategy: From definition to execution,"Ian Wallis 
(Author)",£26.27,RRP: £29.99,Paperback – 23 Aug. 2021,Print length      316 pages,Publication date      23 Aug. 2021,4.0 out of 5 stars,16 ratings,In stock
Metalworker's Data Book for Home Machinists: The Essential Reference Guide for Everyone Who Works with Metal,"Harold Hall 
(Author)",,,Paperback – 3 Oct. 2017,Print length      200 pages,Publication date      3 Oct. 2017,4.4 out of 5 stars,98 ratings,Out of stock
Mastering the Data Paradox: Key to Winning in the AI Age,"Nitin Seth 
(Author)",£18.12,RRP: £27.99,Hardcover – 1 April 2024,Print length      400 pages,Publication date      1 April 2024,4.8 out of 5 stars,324 ratings,Only 8 left in stock.
SQL Fundamentals for Beginners - Learn the Language of Databases,"Aare Adegboyega 
(Author)",,,Kindle Edition,,Publication date      10 July 2024,Previous slide of product details,,Out of stock
"Data Augmentation with Python: Enhance deep learning accuracy with data augmentation methods for image, text, audio, and tabular data","Duc Haba 
(Author)",,,Kindle Edition,,Publication date      28 April 2023,5.0 out of 5 stars,3 ratings,Out of stock
Mastering the Data Paradox: Key to Winning in the AI Age,"Nitin Seth 
(Author)",£18.12,RRP: £27.99,Hardcover – 1 April 2024,Print length      400 pages,Publication date      1 April 2024,4.8 out of 5 stars,324 ratings,Only 8 left in stock.
Functional Aesthetics for Data Visualization,"Vidya Setlur 
(Author),",£22.29,RRP: £30.99,Paperback – 8 Aug. 2022,Print length      336 pages,Publication date      8 Aug. 2022,4.4 out of 5 stars,12 ratings,Only 7 left in stock (more on the way).
Data Modeling with Microsoft Power BI,"Markus Ehrenmueller-Jensen 
(Author)",,,Kindle Edition,,Publication date      10 Jun. 2024,Previous slide of product details,,Out of stock
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,"Gareth Eagar 
(Author)",,,Kindle Edition,,Publication date      29 Dec. 2021,4.3 out of 5 stars,89 ratings,Out of stock
Data Strategy: From definition to execution,"Ian Wallis 
(Author)",£26.27,RRP: £29.99,Paperback – 23 Aug. 2021,Print length      316 pages,Publication date      23 Aug. 2021,4.0 out of 5 stars,16 ratings,In stock
Creating a Data–Driven Organization: Practical Advice from the Trenches,"Carl Anderson 
(Author)",£24.69,RRP: £31.99,Paperback – 4 Aug. 2015,Print length      302 pages,Publication date      4 Aug. 2015,4.3 out of 5 stars,127 ratings,In stock
Data Structures & Algorithms in Python (Developer's Library),"John Canning 
(Author),",£41.44,RRP: £51.99,Paperback – 18 Oct. 2022,Print length      928 pages,Publication date      18 Oct. 2022,4.9 out of 5 stars,30 ratings,Only 12 left in stock (more on the way).
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost 
(Author),",£27.09,RRP: £39.99,Paperback – 17 Sept. 2013,Print length      413 pages,Publication date      17 Sept. 2013,4.5 out of 5 stars,"1,234 ratings",In stock
Text as Data: A New Framework for Machine Learning and the Social Sciences,"Justin Grimmer 
(Author),",£29.63,RRP: £38.00,Paperback – 29 Mar. 2022,Print length      360 pages,Publication date      29 Mar. 2022,4.4 out of 5 stars,38 ratings,Only 2 left in stock (more on the way).
Data Breaches: Case Studies of Corporate Catastrophes,"Dr Joe Reddington 
(Author)",£9.99,,Hardcover – 16 July 2024,Print length      152 pages,Publication date      16 July 2024,Previous slide of product details,,In stock
Business Intelligence Guidebook: From Data Integration to Analytics,"Rick Sherman 
(Author)",,,"1st Edition, Kindle Edition",,Publication date      4 Nov. 2014,4.4 out of 5 stars,100 ratings,Out of stock
The Chief Data Officer Management Handbook: Set Up and Run an Organization’s Data Supply Chain,"Martin Treder 
(Author)",£31.85,RRP: £39.99,Paperback – 19 Sept. 2020,Print length      454 pages,Publication date      19 Sept. 2020,4.3 out of 5 stars,34 ratings,In stock
"Pacific Crest Trail Data Book: Mileages, Landmarks, Facilities, Resupply Data, and Essential Trail Information for the Entire Pacific Crest Trail, from Mexico to Canada","Benedict Go 
(Author)",£9.11,RRP: £9.99,Paperback – 24 Dec. 2020,Print length      128 pages,Publication date      24 Dec. 2020,4.5 out of 5 stars,525 ratings,Only 14 left in stock.
Doing Data Science: Straight Talk from the Frontline,"Cathy O'Neil 
(Author),",,,"1st Edition, Kindle Edition",,Publication date      9 Oct. 2013,4.4 out of 5 stars,207 ratings,Out of stock
Data Structures & Algorithms in Python (Developer's Library),"John Canning 
(Author),",£41.44,RRP: £51.99,Paperback – 18 Oct. 2022,Print length      928 pages,Publication date      18 Oct. 2022,4.9 out of 5 stars,30 ratings,Only 12 left in stock (more on the way).
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)","Dr. Clifford A. Shaffer 
(Author)",,,"Third Edition, Kindle Edition",,Publication date      14 Sept. 2011,4.5 out of 5 stars,44 ratings,Out of stock
M Is for (Data) Monkey: A Guide to the M Language in Excel Power Query,"Ken Puls 
(Author),",,,Kindle Edition,,Publication date      1 Jun. 2015,4.5 out of 5 stars,687 ratings,Out of stock
Data Literacy for Kids,"Kathleen Yu 
(Author, Illustrator)",£12.46,,"Paperback – Large Print, 22 July 2023",Print length      71 pages,Publication date      22 July 2023,5.0 out of 5 stars,4 ratings,In stock
The Data Storyteller's Handbook: How to create business impact using data storytelling,"Kat Greenbrook 
(Author)",,,[Print Replica] Kindle Edition,,Publication date      4 Dec. 2023,4.8 out of 5 stars,28 ratings,Out of stock
Data Stewardship: An Actionable Guide to Effective Data Management and Data Governance,"David Plotkin 
(Author)",£39.91,RRP: £45.95,Paperback – 10 Nov. 2020,Print length      322 pages,Publication date      10 Nov. 2020,4.7 out of 5 stars,67 ratings,Only 4 left in stock.
Mastering the Data Paradox: Key to Winning in the AI Age,"Nitin Seth 
(Author)",£18.12,RRP: £27.99,Hardcover – 1 April 2024,Print length      400 pages,Publication date      1 April 2024,4.8 out of 5 stars,324 ratings,Only 8 left in stock.
Data Breaches: Case Studies of Corporate Catastrophes,"Dr Joe Reddington 
(Author)",£9.99,,Hardcover – 16 July 2024,Print length      152 pages,Publication date      16 July 2024,Previous slide of product details,,In stock
Navigating Sustainability Data: How Organizations can use ESG Data to Secure Their Future,"Sherry Madera 
(Author)",£29.99,RRP: £34.99,Paperback – 3 Jan. 2024,Print length      304 pages,Publication date      3 Jan. 2024,Previous slide of product details,,In stock
Winning with Data Science: A Handbook for Business Leaders,"Howard Steven Friedman 
(Author),",£18.57,RRP: £22.00,Hardcover – 30 Jan. 2024,Print length      272 pages,Publication date      30 Jan. 2024,5.0 out of 5 stars,3 ratings,In stock
Story of Art Sticker Book (Information Sticker Books),"Sarah Courtauld 
(Author),",£4.71,,Paperback – 1 May 2012,Print length      52 pages,Publication date      1 May 2012,4.4 out of 5 stars,4 ratings,Out of stock
Doctoring Data: How to sort out medical advice from medical nonsense,"Malcolm Kendrick 
(Author)",,,Kindle Edition,,Publication date      7 Feb. 2015,4.7 out of 5 stars,696 ratings,Out of stock
Liquid Cooling For Data Centers,"Charles Nehme 
(Author)",£20.25,,Paperback – 20 Jan. 2023,Print length      30 pages,Publication date      20 Jan. 2023,2.5 out of 5 stars,2 ratings,In stock
Data Center Design from Beginner to Professional,"B.A. Ayomaya 
(Author)",£24.69,,Paperback – 14 April 2021,Print length      383 pages,Publication date      14 April 2021,3.9 out of 5 stars,14 ratings,In stock
"Python, Javascript, Java, SQL, Linux: The Complete Coding and Developing Crash Course for Beginners (2024) (Computer Programming)","Mark Reed 
(Author)",,,Kindle Edition,,Publication date      13 Jun. 2024,4.8 out of 5 stars,48 ratings,Out of stock
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,"Cathy O'Neil 
(Author)",,,Kindle Edition,,Publication date      6 Sept. 2016,4.4 out of 5 stars,"4,652 ratings",Out of stock
DataStory: Explain Data and Inspire Action Through Story,"Nancy Duarte 
(Author)",£19.59,RRP: £24.99,"Paperback – Illustrated, 3 Oct. 2019",Print length      240 pages,Publication date      3 Oct. 2019,4.5 out of 5 stars,620 ratings,In stock
The Data Strategy Handbook: Build your Data Strategy with this handbook and start your data journey for your organisation,"Mr Stewart Buse 
(Author)",£8.99,,Paperback – 8 Jan. 2023,Print length      59 pages,Publication date      8 Jan. 2023,4.6 out of 5 stars,3 ratings,In stock
Master Your Data with Excel and Power BI: Leveraging Power Query to Get & Transform Your Task Flow,"Ken Puls Miguel Escobar 
(Author)",£22.25,RRP: £27.99,"Paperback – Large Print, 1 Nov. 2021",Print length      256 pages,Publication date      1 Nov. 2021,4.6 out of 5 stars,172 ratings,Only 4 left in stock.
"SQL in 10 Minutes a Day, Sams Teach Yourself","Ben Forta 
(Author)",£18.13,RRP: £22.99,Paperback – 18 Aug. 2020,Print length      256 pages,Publication date      18 Aug. 2020,4.7 out of 5 stars,508 ratings,In stock
"The Ultimate Guide to Automating Your Data: Tables, Inbox, Reports, Analytics, and More (The Ultimate Guide to Jotform)","Aytekin Tank 
(Author),",£10.22,,Paperback – 28 May 2024,Print length      150 pages,Publication date      28 May 2024,Previous slide of product details,,In stock
"Show me the Data: Note Book for Data Collection- Gifts for ABA Therapist, Data Analysts, Statisticians, BCBA, Scientists, Mathematicians 120 page College ruled Journal 6"" x 9""","Data Nerd Gifts 
(Author)",£5.55,,Paperback – 17 Jun. 2019,Print length      120 pages,Publication date      17 Jun. 2019,4.8 out of 5 stars,8 ratings,In stock
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)","Dr. Clifford A. Shaffer 
(Author)",,,"Third Edition, Kindle Edition",,Publication date      14 Sept. 2011,4.5 out of 5 stars,44 ratings,Out of stock
The Data Governance Guidebook and Playbook: By a Practitioner for Practitioners,"Kimberly Wienzierl 
(Author)",£20.49,RRP: £23.99,Paperback – 10 Oct. 2021,Print length      118 pages,Publication date      10 Oct. 2021,4.2 out of 5 stars,28 ratings,In stock
Winning with Data Science: A Handbook for Business Leaders,"Howard Steven Friedman 
(Author),",£18.57,RRP: £22.00,Hardcover – 30 Jan. 2024,Print length      272 pages,Publication date      30 Jan. 2024,5.0 out of 5 stars,3 ratings,In stock
Data Lakes For Dummies,"Alan R. Simon 
(Author)",£18.09,RRP: £24.99,Paperback – 25 Jun. 2021,Print length      384 pages,Publication date      25 Jun. 2021,4.2 out of 5 stars,18 ratings,Only 7 left in stock (more on the way).
Window Washer Data Log Book: Cute Logbook Gift to Record and Keep Track of Window Washing Business Clients and Appointments,"Will Knight Press 
(Author)",£6.76,,Paperback – 4 Oct. 2023,Print length      110 pages,Publication date      4 Oct. 2023,Previous slide of product details,,In stock
Data Science: The Hard Parts; Techniques for Excelling at Data Science,"Daniel Vaughan 
(Author)",£38.06,RRP: £52.99,Paperback – 5 Dec. 2023,Print length      237 pages,Publication date      5 Dec. 2023,5.0 out of 5 stars,3 ratings,Only 9 left in stock.
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions (BUSINESS BOOKS)","Matt Taddy 
(Author)",£22.59,RRP: £29.99,"Hardcover – Illustrated, 18 Aug. 2019",Print length      352 pages,Publication date      18 Aug. 2019,4.5 out of 5 stars,168 ratings,Only 8 left in stock (more on the way).
Data Rules: Reinventing the Market Economy (Acting with Technology),"Cristina Alaimo 
(Author),",£32.99,RRP: £43.00,Paperback – 4 Jun. 2024,Print length      240 pages,Publication date      4 Jun. 2024,5.0 out of 5 stars,3 ratings,Usually dispatched within 3 to 7 months
"MASTERING EXCEL DATA ANALYSIS: All-In-One Practical Approach to Creating and Analyzing Data, Charts And Pivot Tables + Secret Tips and Tricks on Data Analysis & Business Modelling","CARTY BINN 
(Author)",£14.84,,Paperback – 15 Mar. 2022,Print length      265 pages,Publication date      15 Mar. 2022,2.0 out of 5 stars,1 rating,In stock
"Data Scientist Pocket Guide: Over 600 Concepts, Terminologies, and Processes of Machine Learning and Deep Learning Assembled Together (English Edition)","Mohamed Sabri 
(Author)",£15.86,,Paperback – 28 Jun. 2021,Print length      308 pages,Publication date      28 Jun. 2021,4.4 out of 5 stars,10 ratings,In stock
Data Science: The Hard Parts; Techniques for Excelling at Data Science,"Daniel Vaughan 
(Author)",£38.06,RRP: £52.99,Paperback – 5 Dec. 2023,Print length      237 pages,Publication date      5 Dec. 2023,5.0 out of 5 stars,3 ratings,Only 9 left in stock.
Data Rules: Reinventing the Market Economy (Acting with Technology),"Cristina Alaimo 
(Author),",£32.99,RRP: £43.00,Paperback – 4 Jun. 2024,Print length      240 pages,Publication date      4 Jun. 2024,5.0 out of 5 stars,3 ratings,Usually dispatched within 3 to 7 months
"Digital Marketing 2024: Mastering AI, SEO, Social Media, and Data-Driven Strategies for Business Growth","K. Connors 
(Author)",£13.74,,Paperback – 4 Jun. 2024,Print length      64 pages,Publication date      4 Jun. 2024,Previous slide of product details,,In stock
The Age of Data: Embracing Algorithms in Art & Design,"Christoph Grünberger 
(Author)",£33.98,RRP: £59.95,Hardcover – 18 Nov. 2021,Print length      400 pages,Publication date      18 Nov. 2021,4.9 out of 5 stars,26 ratings,Only 9 left in stock (more on the way).
The Business Of Big Data: How to Create Lasting Value in the Age of AI,"Martin Schmalz 
(Author),",£12.00,,Paperback – 9 Dec. 2019,Print length      149 pages,Publication date      9 Dec. 2019,4.8 out of 5 stars,37 ratings,In stock
"Password Book: Internet Password Organizer, Keep All Your Passwords In One Place, small 6"" x 9""","Isaac The Thinker 
(Author)",£4.03,,Paperback – 1 July 2024,Print length      120 pages,Publication date      1 July 2024,Previous slide of product details,,In stock
"Shooting Data Log Book for Gun Owners: Record Journal for Shooters and Marksmen - Track Dates, Times, Locations, Partners, Firearms, Scopes, Powders, ... Gift for Shooting Beginners or Professionals","Clarity House Publishing 
(Author)",£5.33,,Paperback – 17 Mar. 2023,Print length      102 pages,Publication date      17 Mar. 2023,4.5 out of 5 stars,2 ratings,In stock
Cracking the Data Science Interview: Unlock insider tips from industry experts to master the data science field,"Leondra R. Gonzalez 
(Author),",£22.99,RRP: £37.99,Paperback – 29 Feb. 2024,Print length      404 pages,Publication date      29 Feb. 2024,5.0 out of 5 stars,1 rating,In stock
"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance","Bernard Marr 
(Author)",£11.75,RRP: £15.00,Paperback – 16 Jan. 2015,Print length      256 pages,Publication date      16 Jan. 2015,4.1 out of 5 stars,275 ratings,In stock
"Statistics for Data Scientists: An Introduction to Probability, Statistics, and Data Analysis (Undergraduate Topics in Computer Science)","Maurits Kaptein 
(Author),",£32.05,RRP: £39.99,Paperback – 3 Feb. 2022,Print length      345 pages,Publication date      3 Feb. 2022,3.4 out of 5 stars,10 ratings,In stock
Data Protection and Compliance: Second edition,"Stewart Room 
(Author, Editor)",£43.35,RRP: £49.99,Paperback – 21 Oct. 2021,Print length      416 pages,Publication date      21 Oct. 2021,4.6 out of 5 stars,13 ratings,In stock
Be Data Analytical: How to Use Analytics to Turn Data into Value,"Jordan Morrow 
(Author)",£20.99,RRP: £24.99,Paperback – 3 Jun. 2023,Print length      240 pages,Publication date      3 Jun. 2023,4.5 out of 5 stars,7 ratings,In stock
Data Analytics Made Accessible: 2024 edition,"Anil Maheshwari 
(Author)",,,Kindle Edition,,Publication date      1 May 2014,4.3 out of 5 stars,316 ratings,Out of stock
Data Science Strategy For Dummies,"Jgare 
(Author)",£18.85,RRP: £25.99,Paperback – 21 Jun. 2019,Print length      352 pages,Publication date      21 Jun. 2019,4.3 out of 5 stars,51 ratings,Only 6 left in stock (more on the way).
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),"Harvard Business Review 
(Author)",£13.97,,"Paperback – Illustrated, 3 April 2018",Print length      256 pages,Publication date      3 April 2018,4.4 out of 5 stars,489 ratings,In stock
Confident Data Skills: How to Work with Data and Futureproof Your Career (Confident Series),"Kirill Eremenko 
(Author)",£11.99,RRP: £16.99,Paperback – 10 Sept. 2020,Print length      320 pages,Publication date      10 Sept. 2020,4.5 out of 5 stars,22 ratings,
PowerPivot and Power Query for Microsoft Excel: Transforming Data into Insights,"Andrei Popescu 
(Author)",£10.84,,Paperback – 9 July 2024,Print length      238 pages,Publication date      9 July 2024,Previous slide of product details,,In stock
